titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
Los océanos en 2025: las 10 historias que revelaron amenazas al mar en Latinoamérica,30 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/oceanos-2025-10-historias-amenazas-mar-latinoamerica/,2025-12-30,2025,12,30,14,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['mar', 'océano'], 'crimen_ilegalidad': ['amenaza']}",False,"mar, océano"
El “turismo psicodélico” amenaza a las plantas y animales de Latinoamérica y África | ESTUDIO,18 Dic 2025,Astrid Arellano,https://es.mongabay.com/2025/12/turismo-psicodelico-amenaza-plantas-animales-latinoamerica-africa/,2025-12-18,2025,12,18,15,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['animal', 'planta'], 'crimen_ilegalidad': ['amenazar']}",False,"animal, planta"
Perú: las 10 historias ambientales que marcaron 2025,16 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/peru-mejores-historias-ambientales/,2025-12-16,2025,12,16,8,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['marcar']},False,marcar
Perú amplía su biblioteca molecular con registros genéticos de especies de mamíferos y aves de la Amazonía,12 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/peru-amplia-biblioteca-molecular-registros-geneticos-mamiferos-aves-amazonia/,2025-12-12,2025,12,12,17,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['amazonía', 'ave', 'especie', 'mamífero']}",False,"amazonía, ave, especie, mamífero"
Bosques submarinos en riesgo: el cambio climático podría desaparecer el 60% del hábitat de los huiros del Pacífico sudamericano rumbo a 2050 | ESTUDIO,10 Dic 2025,Astrid Arellano,https://es.mongabay.com/2025/12/riesgo-cambio-climatico-desaparecer-huiros-pacifico-sudamericano/,2025-12-10,2025,12,10,24,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['bosque', 'cambio', 'climático', 'hábitat']}",False,"bosque, cambio, climático, hábitat"
"Más de 200 guardias de 15 pueblos indígenas de Colombia, Ecuador y Perú se reunieron para discutir cómo proteger la Amazonía",8 Dic 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/12/guardias-indigenas-colombia-ecuador-peru-proteger-amazonia/,2025-12-08,2025,12,8,21,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['amazonía', 'proteger'], 'sociedad_comunidades': ['indígena', 'pueblo']}",False,"amazonía, proteger"
¿Cuáles son los grupos armados que se disputan la Amazonía?,1 Dic 2025,Mongabay Latam,https://es.mongabay.com/video/2025/12/cuales-son-los-grupos-armados-que-se-disputan-la-amazonia/,2025-12-01,2025,12,1,10,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía'], 'crimen_ilegalidad': ['armado', 'grupo']}",False,amazonía
Imágenes satelitales y estudios científicos revelan devastación en ríos de América Latina | Lecturas ambientales,30 Nov 2025,Mongabay Latam,https://es.mongabay.com/2025/11/imagenes-satelitales-estudios-cientificos-revelan-devastacion-rios-america-latina/,2025-11-30,2025,11,30,15,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['río']},False,río
Tres nuevas ranas endémicas revelan una biodiversidad oculta en el norte peruano,26 Nov 2025,Xilena Pinedo,https://es.mongabay.com/2025/11/tres-nuevas-ranas-endemicas-revelan-biodiversidad-norte-peruano/,2025-11-26,2025,11,26,12,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['biodiversidad']},False,biodiversidad
Ojos del bosque: comunidades ribereñas de Perú instalan cámaras trampa para proteger la biodiversidad del Alto Mayo,22 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/ojos-del-bosque-comunidades-riberenas-de-peru-instalan-camaras-trampa-para-proteger-la-biodiversidad-del-alto-mayo/,2025-11-22,2025,11,22,17,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['biodiversidad', 'bosque', 'proteger'], 'sociedad_comunidades': ['comunidad']}",False,"biodiversidad, bosque, proteger"
Día mundial de la pesca: 10 entrevistas a pescadores que lo dan todo por el mar,21 Nov 2025,Michelle Carrere,https://es.mongabay.com/2025/11/dia-mundial-pesca-entrevistas-pescadores-mar/,2025-11-21,2025,11,21,16,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['mar'], 'economia_desarrollo': ['pesca', 'pescador']}",False,mar
Corazón del bosque: comunidades descubren una nueva especie de rana amenazada en Perú,18 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/comunidades-descubren-nueva-especie-rana-amenazada-peru/,2025-11-18,2025,11,18,13,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque', 'especie'], 'sociedad_comunidades': ['comunidad'], 'crimen_ilegalidad': ['amenazado']}",False,"bosque, especie"
"“En esta COP, queremos visibilizar los riesgos que corren aquellos que defienden los bosques” | ENTREVISTA",16 Nov 2025,Emilia Delfino,https://es.mongabay.com/2025/11/cop30-visibilizar-riesgos-defensores-indigenas-entrevista/,2025-11-16,2025,11,16,16,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['bosque']},False,bosque
Reforestando el mar: los peces vuelven a una playa de Perú gracias a un proyecto de repoblamiento de algas,13 Nov 2025,Ramiro Escobar,https://es.mongabay.com/2025/11/peru-mar-proyecto-repoblamiento-algas-peces-regresan/,2025-11-13,2025,11,13,19,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['mar', 'pez']}",False,"mar, pez"
Un sobrevuelo en la Amazonía peruana muestra los impactos de la minería ilegal en los ríos Marañón y Santiago,2 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/un-sobrevuelo-en-la-amazonia-peruana-mineria-ilegal-en-los-rios-maranon-y-santiago/,2025-11-02,2025,11,2,19,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía', 'marañón', 'río'], 'sociedad_comunidades': ['impacto'], 'crimen_ilegalidad': ['ilegal']}",False,"amazonía, marañón, río"
"Descubren curiosos marsupiales, cocodrilos y roedores en América Latina y el Caribe | Coyuntura Ambiental",25 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/descubren-marsupiales-cocodrilos-roedores/,2025-10-25,2025,10,25,15,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['marsupial']},False,marsupial
Ríos voladores: la deforestación en la Amazonía brasileña está impactando en los ecosistemas de Perú y Bolivia | ESTUDIO,24 Oct 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/10/rios-voladores-deforestacion-amazonia-brasilena-impacta-peru-bolivia/,2025-10-24,2025,10,24,19,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['amazonía', 'deforestación', 'ecosistema', 'río']}",False,"amazonía, deforestación, ecosistema, río"
"Con cámaras trampa, los castañeros de Perú trabajan en la conservación y monitoreo de especies en la Amazonía",8 Oct 2025,Geraldine Santos,https://es.mongabay.com/2025/10/camaras-trampa-castaneros-peru-conservacion-monitoreo-especies-amazonia/,2025-10-08,2025,10,8,18,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['amazonía', 'conservación', 'especie']}",False,"amazonía, conservación, especie"
Mercurio en insectos de la Amazonía peruana: científicos estudian bioacumulación tóxica,7 Oct 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/10/mercurio-insectos-amazonia-peruana-bioacumulacion-toxica/,2025-10-07,2025,10,7,11,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['amazonía']},False,amazonía
El legado de Jane Goodall: conservacionistas latinoamericanos recuerdan cómo la primatóloga impactó en sus vidas y sus carreras,7 Oct 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/10/el-legado-de-jane-goodall-conservacionistas-latinoamerica-primatologa/,2025-10-07,2025,10,7,18,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['conservacionista']},False,conservacionista
Día Mundial de los Animales: cámaras trampa para conservar  jaguares y delfines en la Selva Maya y la Amazonía,7 Oct 2025,Gonzalo Ortuño López,https://es.mongabay.com/2025/10/dia-mundial-de-los-animales-monitoreo-especies/,2025-10-07,2025,10,7,19,['biodiversidad_conservacion'],"{'biodiversidad_conservacion': ['amazonía', 'animal', 'selva']}",False,"amazonía, animal, selva"
¿Qué amenazas enfrentan las áreas protegidas recién creadas en el Perú?  | PODCAST,4 Oct 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/10/que-amenazas-enfrentan-las-areas-protegidas-recien-creadas-en-el-peru-podcast/,2025-10-04,2025,10,4,13,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['protegido', 'área'], 'crimen_ilegalidad': ['amenaza']}",False,"protegido, área"
Emergencia en el Nanay: un sobrevuelo revela más de 45 dragas de mineros ilegales en el río amazónico y sectores de bosque peruano,2 Oct 2025,Enrique Vera,https://es.mongabay.com/2025/10/sobrevuelo-revela-dragas-mineros-ilegales-rio-nanay-peru/,2025-10-02,2025,10,2,23,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque', 'río'], 'crimen_ilegalidad': ['ilegal']}",False,"bosque, río"
¿Qué bancos financian la expansión petrolera en ecosistemas clave de América Latina y el Caribe? | INFORME,1 Oct 2025,Iván Paredes Tamayo,https://es.mongabay.com/2025/10/bancos-financian-expansion-petrolera-ecosistemas-america-latina-el-caribe/,2025-10-01,2025,10,1,17,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['ecosistema']},False,ecosistema
¿Cuáles son los países con mayor pérdida de bosque nativo en Latinoamérica?,30 Sep 2025,Mongabay Latam,https://es.mongabay.com/video/2025/09/cuales-son-los-paises-con-mayor-perdida-de-bosque-nativo-en-latinoamerica/,2025-09-30,2025,9,30,12,['biodiversidad_conservacion'],{'biodiversidad_conservacion': ['bosque']},False,bosque
