titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
Los océanos en 2025: las 10 historias que revelaron amenazas al mar en Latinoamérica,30 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/oceanos-2025-10-historias-amenazas-mar-latinoamerica/,2025-12-30,2025,12,30,14,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['mar', 'océano'], 'crimen_ilegalidad': ['amenaza']}",False,amenaza
"“La guardia indígena no es un actor armado, es un actor de decisiones comunitarias” | ENTREVISTA",23 Dic 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/12/guardia-indigena-no-es-un-actor-armado-es-actor-decisiones-comunitarias/,2025-12-23,2025,12,23,16,['crimen_ilegalidad'],{'crimen_ilegalidad': ['armado']},False,armado
El “turismo psicodélico” amenaza a las plantas y animales de Latinoamérica y África | ESTUDIO,18 Dic 2025,Astrid Arellano,https://es.mongabay.com/2025/12/turismo-psicodelico-amenaza-plantas-animales-latinoamerica-africa/,2025-12-18,2025,12,18,15,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['animal', 'planta'], 'crimen_ilegalidad': ['amenazar']}",False,amenazar
Los vuelos de la muerte: líderes indígenas asesinados en un territorio invadido por 67 narcopistas,4 Dic 2025,Mongabay Latam,https://es.mongabay.com/custom-story/2025/12/los-vuelos-de-la-muerte-lideres-indigenas-asesinados-6-narcopistas/,2025-12-04,2025,12,4,15,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['indígena', 'líder', 'territorio'], 'crimen_ilegalidad': ['asesinado']}",False,asesinado
"Balance ambiental de Perú 2025: el país no logra superar los efectos de la minería ilegal, el narcotráfico y el crimen organizado",2 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/balance-ambiental-peru-mineria-ilegal-narcotrafico-crimen-organizado/,2025-12-02,2025,12,2,22,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['organizado'], 'crimen_ilegalidad': ['crimen', 'ilegal']}",False,"crimen, ilegal"
Piratas y narcotraficantes amenazan a pescadores de Ecuador y Perú,2 Dic 2025,Mongabay Latam,https://es.mongabay.com/specials/2025/12/piratas-narcotraficantes-amenazan-pescadores-ecuador-peru/,2025-12-02,2025,12,2,10,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'crimen_ilegalidad': ['amenazar', 'narcotraficant']}",False,"amenazar, narcotraficant"
¿Cuáles son los grupos armados que se disputan la Amazonía?,1 Dic 2025,Mongabay Latam,https://es.mongabay.com/video/2025/12/cuales-son-los-grupos-armados-que-se-disputan-la-amazonia/,2025-12-01,2025,12,1,10,"['biodiversidad_conservacion', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía'], 'crimen_ilegalidad': ['armado', 'grupo']}",False,"armado, grupo"
"Las vicuñas y guanacos de Sudamérica enfrentan la amenaza de la sarna, alertan científicos",25 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/vicunas-guanacos-sudamerica-enfrentan-amenaza-sarna/,2025-11-25,2025,11,25,14,['crimen_ilegalidad'],{'crimen_ilegalidad': ['amenaza']},False,amenaza
Piratas y narcotráfico: la alianza que extorsiona y asesina a pescadores en Ecuador y Perú | Lecturas ambientales,24 Nov 2025,Mongabay Latam,https://es.mongabay.com/2025/11/piratas-narcotrafico-extorsiona-asesina-pescadores-ecuador-peru/,2025-11-24,2025,11,24,18,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'crimen_ilegalidad': ['asesinar']}",False,asesinar
¿Por qué es tan grave el caso de desembarque ilegal de aletas de tiburón en Perú?,19 Nov 2025,Mongabay Latam,https://es.mongabay.com/short-article/2025/11/grave-caso-desembarque-ilegal-aletas-tiburon-peru/,2025-11-19,2025,11,19,16,['crimen_ilegalidad'],{'crimen_ilegalidad': ['ilegal']},False,ilegal
