titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
Piratas y narcotraficantes amenazan a pescadores de Ecuador y Perú,2 Dic 2025,Mongabay Latam,https://es.mongabay.com/specials/2025/12/piratas-narcotraficantes-amenazan-pescadores-ecuador-peru/,2025-12-02,2025,12,2,10,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'crimen_ilegalidad': ['amenazar', 'narcotraficant']}",False,pescador
Piratas y narcotráfico: la alianza que extorsiona y asesina a pescadores en Ecuador y Perú | Lecturas ambientales,24 Nov 2025,Mongabay Latam,https://es.mongabay.com/2025/11/piratas-narcotrafico-extorsiona-asesina-pescadores-ecuador-peru/,2025-11-24,2025,11,24,18,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'crimen_ilegalidad': ['asesinar']}",False,pescador
Día mundial de la pesca: 10 entrevistas a pescadores que lo dan todo por el mar,21 Nov 2025,Michelle Carrere,https://es.mongabay.com/2025/11/dia-mundial-pesca-entrevistas-pescadores-mar/,2025-11-21,2025,11,21,16,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['mar'], 'economia_desarrollo': ['pesca', 'pescador']}",False,"pesca, pescador"
La organización criminal Los Lobos se une a piratas peruanos para extorsionar a pescadores del norte de Perú,23 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/organizacion-criminal-los-lobos-piratas-peruanos-extorsionar-pescadores/,2025-10-23,2025,10,23,18,"['economia_desarrollo', 'sociedad_comunidades', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'sociedad_comunidades': ['organización'], 'crimen_ilegalidad': ['criminal']}",False,pescador
Piratas de Ecuador y Perú: el brazo logístico del narcotráfico detrás de las extorsiones a pescadores artesanales,22 Oct 2025,Mongabay Latam,https://es.mongabay.com/custom-story/2025/10/piratas-ecuador-peru-narcotrafico-extorsiones-pescadores-artesanales/,2025-10-22,2025,10,22,17,['economia_desarrollo'],{'economia_desarrollo': ['pescador']},False,pescador
Proyecto Corvina: la apuesta de los pescadores artesanales de Ilo frente a la sobrepesca en Perú | ENTREVISTA,8 Oct 2025,Astrid Arellano,https://es.mongabay.com/2025/10/proyecto-corvina-pescadores-artesanales-ilo-frenar-sobrepesca-peru-entrevista/,2025-10-08,2025,10,8,18,['economia_desarrollo'],{'economia_desarrollo': ['pescador']},False,pescador
¿Cuáles son las dos empresas chinas que comercializan algas sin licencia industrial en Perú? | PODCAST,24 Sep 2025,Mongabay Latam,https://es.mongabay.com/podcast/2025/09/cuales-son-las-dos-empresas-chinas-que-comercializan-algas-sin-licencia-industrial-en-peru-podcast/,2025-09-24,2025,9,24,16,['economia_desarrollo'],{'economia_desarrollo': ['industrial']},False,industrial
Sin permiso para operar: las dos empresas chinas que lideran el mercado de algas en Perú no tienen licencia industrial,23 Sep 2025,Elizabeth Salazar Vega,https://es.mongabay.com/2025/09/empresas-chinas-algas-peru-sin-licencia-industrial/,2025-09-23,2025,9,23,20,"['economia_desarrollo', 'sociedad_comunidades']","{'economia_desarrollo': ['industrial'], 'sociedad_comunidades': ['liderar']}",False,industrial
Barcos ilegales arremeten en Perú: un nuevo intento por reabrir el proceso de formalización pesquera podría “blanquearlos”,18 Sep 2025,Michelle Carrere,https://es.mongabay.com/2025/09/barcos-ilegales-peru-intento-reabrir-formalizacion-pesquera/,2025-09-18,2025,9,18,17,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pesquero'], 'crimen_ilegalidad': ['ilegal']}",False,pesquero
"«Todas las normativas están hechas para la industria, porque la idea es desaparecer al sector pesquero artesanal» | ENTREVISTA",12 Sep 2025,Astrid Arellano,https://es.mongabay.com/2025/09/desafios-pescadores-artesanales-frente-pesca-industrial-entrevista/,2025-09-12,2025,9,12,19,['economia_desarrollo'],"{'economia_desarrollo': ['industria', 'pesquero']}",False,"industria, pesquero"
“Vamos a formar buenas líderes de pesca para que salgan adelante con todos sus proyectos” | ENTREVISTA,1 Sep 2025,Astrid Arellano,https://es.mongabay.com/2025/09/mujeres-lideres-pesca-peru-entrevista-jenny-pizarro/,2025-09-01,2025,9,1,17,"['economia_desarrollo', 'sociedad_comunidades']","{'economia_desarrollo': ['pesca'], 'sociedad_comunidades': ['líder']}",False,pesca
La recolección de algas en Perú empodera a las mujeres pescadoras de Paracas,23 Ago 2025,Ramiro Escobar,https://es.mongabay.com/2025/08/la-recoleccion-de-algas-en-peru-empodera-a-las-mujeres-pescadoras-de-paracas/,2025-08-23,2025,8,23,13,['economia_desarrollo'],{'economia_desarrollo': ['pescadora']},False,pescadora
Sin mujeres no hay pesca: siete historias de pescadoras que rompen barreras en Latinoamérica,19 Ago 2025,Michelle Carrere,https://es.mongabay.com/custom-story/2025/08/sin-mujeres-no-hay-pesca-historias-pescadoras-rompen-barreras-latinoamerica/,2025-08-19,2025,8,19,14,['economia_desarrollo'],"{'economia_desarrollo': ['pesca', 'pescadora']}",False,"pesca, pescadora"
"“Las mujeres sí podemos pescar, la pesca no es solo cosa de hombres” | ENTREVISTA",15 Ago 2025,Astrid Arellano,https://es.mongabay.com/2025/08/mujeres-pesca-conservacion-oceanos-entrevista/,2025-08-15,2025,8,15,15,['economia_desarrollo'],"{'economia_desarrollo': ['pesca', 'pescar']}",False,"pesca, pescar"
Piratas asesinan a más de 20 pescadores artesanales en Perú,26 Jul 2025,Mongabay Latam,https://es.mongabay.com/short-article/2025/07/piratas-asesinan-pescadores-peru/,2025-07-26,2025,7,26,10,"['economia_desarrollo', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'crimen_ilegalidad': ['asesinar']}",False,pescador
La liebre europea amenaza la fauna y agricultura peruana | Reportaje fotográfico,18 Jul 2025,Mongabay Latam,https://es.mongabay.com/2025/07/liebre-europea-amenaza-fauna-agricultura-peruana-reportaje-fotografico/,2025-07-18,2025,7,18,12,"['biodiversidad_conservacion', 'economia_desarrollo', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['fauna'], 'economia_desarrollo': ['agricultura'], 'crimen_ilegalidad': ['amenazar']}",False,agricultura
"Pueblos indígenas de Perú y Brasil se unen para reclamar contra la construcción de una carretera, concesiones forestales y actividades ilegales",2 Jul 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/07/pueblos-indigenas-peru-brasil-rechazan-construccion-carretera-concesiones-forestales-actividades-ilegales/,2025-07-02,2025,7,2,21,"['economia_desarrollo', 'sociedad_comunidades', 'crimen_ilegalidad']","{'economia_desarrollo': ['actividad'], 'sociedad_comunidades': ['indígena', 'pueblo'], 'crimen_ilegalidad': ['ilegal']}",False,actividad
Expertos desarman los argumentos de la industria pesquera contra la firma del Tratado de Alta Mar,13 Jun 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/06/expertos-desarman-argumentos-industria-pesquera-firma-tratado-alta-mar/,2025-06-13,2025,6,13,16,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['mar'], 'economia_desarrollo': ['industria', 'pesquero']}",False,"industria, pesquero"
“Las energías renovables mal implementadas pueden tener consecuencias muy negativas para la Amazonía” | PODCAST,7 Jun 2025,Geraldine Santos,https://es.mongabay.com/podcast/2025/06/energias-renovables-mal-implementadas-pueden-tener-consecuencias-negativas-amazonia-podcast/,2025-06-07,2025,6,7,15,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['amazonía'], 'economia_desarrollo': ['energía']}",False,energía
Basura cero: pescadores artesanales del sur del Perú evitan que toneladas de plástico terminen en el océano,29 May 2025,Lourdes Fernández Calvo,https://es.mongabay.com/2025/05/basura-cero-pescadores-artesanales-peru-plastico-oceano/,2025-05-29,2025,5,29,17,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['océano'], 'economia_desarrollo': ['pescador']}",False,pescador
Denuncian a la Presidenta del Perú y al ministro de Energía y Minas por permitir que los permisos mineros se hereden,26 May 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/05/denuncian-presidenta-peru-ministro-permisos-mineros/,2025-05-26,2025,5,26,21,['economia_desarrollo'],{'economia_desarrollo': ['energía']},False,energía
"“Lo que planteamos no es una demonización de la industria de la anchoveta, sino que se cumpla la ley peruana” | ENTREVISTA",18 May 2025,Emilia Delfino,https://es.mongabay.com/2025/05/lo-que-planteamos-no-es-una-demonizacion-de-la-industria-de-la-anchoveta-sino-que-se-cumpla-la-ley-peruana-entrevista/,2025-05-18,2025,5,18,22,"['politica_gobernabilidad', 'economia_desarrollo']","{'politica_gobernabilidad': ['ley'], 'economia_desarrollo': ['industria']}",False,industria
Luces de esperanza: la pesca con redes iluminadas protege a las tortugas marinas en el Perú,13 May 2025,Oscar Bermeo Ocaña,https://es.mongabay.com/2025/05/pesca-redes-iluminadas-protege-tortugas-marinas-peru/,2025-05-13,2025,5,13,16,"['biodiversidad_conservacion', 'economia_desarrollo']","{'biodiversidad_conservacion': ['marino', 'proteger'], 'economia_desarrollo': ['pesca']}",False,pesca
