titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo,ejes_semanticos,activadores,sin_eje,activadores_eje
"“Si quieres vivir, aprende a mantener el pico cerrado. Si quieres morir pronto, ábrelo”: la muerte acecha a Olivia Bisa, lideresa indígena de la Nación Chapra",21 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/amenaza-muerte-olivia-bisa-lideresa-indigena-nacion-chapra-peru/,2025-12-21,2025,12,21,26,['sociedad_comunidades'],{'sociedad_comunidades': ['lideresa']},False,lideresa
"Más de 200 guardias de 15 pueblos indígenas de Colombia, Ecuador y Perú se reunieron para discutir cómo proteger la Amazonía",8 Dic 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/12/guardias-indigenas-colombia-ecuador-peru-proteger-amazonia/,2025-12-08,2025,12,8,21,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['amazonía', 'proteger'], 'sociedad_comunidades': ['indígena', 'pueblo']}",False,"indígena, pueblo"
Los vuelos de la muerte: líderes indígenas asesinados en un territorio invadido por 67 narcopistas,4 Dic 2025,Mongabay Latam,https://es.mongabay.com/custom-story/2025/12/los-vuelos-de-la-muerte-lideres-indigenas-asesinados-6-narcopistas/,2025-12-04,2025,12,4,15,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['indígena', 'líder', 'territorio'], 'crimen_ilegalidad': ['asesinado']}",False,"indígena, líder, territorio"
"Balance ambiental de Perú 2025: el país no logra superar los efectos de la minería ilegal, el narcotráfico y el crimen organizado",2 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/balance-ambiental-peru-mineria-ilegal-narcotrafico-crimen-organizado/,2025-12-02,2025,12,2,22,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['organizado'], 'crimen_ilegalidad': ['crimen', 'ilegal']}",False,organizado
Ojos del bosque: comunidades ribereñas de Perú instalan cámaras trampa para proteger la biodiversidad del Alto Mayo,22 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/ojos-del-bosque-comunidades-riberenas-de-peru-instalan-camaras-trampa-para-proteger-la-biodiversidad-del-alto-mayo/,2025-11-22,2025,11,22,17,"['biodiversidad_conservacion', 'sociedad_comunidades']","{'biodiversidad_conservacion': ['biodiversidad', 'bosque', 'proteger'], 'sociedad_comunidades': ['comunidad']}",False,comunidad
Corazón del bosque: comunidades descubren una nueva especie de rana amenazada en Perú,18 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/comunidades-descubren-nueva-especie-rana-amenazada-peru/,2025-11-18,2025,11,18,13,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['bosque', 'especie'], 'sociedad_comunidades': ['comunidad'], 'crimen_ilegalidad': ['amenazado']}",False,comunidad
Perú: madereros condenados por homicidio de líderes indígenas en caso Saweto ahora demoran juicio por tala ilegal,5 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/peru-madereros-condenados-por-caso-saweto-demoran-juicio-por-tala-ilegal/,2025-11-05,2025,11,5,17,"['sociedad_comunidades', 'crimen_ilegalidad']","{'sociedad_comunidades': ['indígena', 'líder'], 'crimen_ilegalidad': ['homicidio', 'ilegal']}",False,"indígena, líder"
Jene Nete: el mundo del agua es narrado por el pueblo shipibo-konibo por primera vez en una película | ENTREVISTA,4 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/jene-nete-el-mundo-del-agua-es-narrado-por-el-pueblo-shipibo-konibo-por-primera-vez-en-una-pelicula-entrevista/,2025-11-04,2025,11,4,20,['sociedad_comunidades'],{'sociedad_comunidades': ['pueblo']},False,pueblo
Un sobrevuelo en la Amazonía peruana muestra los impactos de la minería ilegal en los ríos Marañón y Santiago,2 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/un-sobrevuelo-en-la-amazonia-peruana-mineria-ilegal-en-los-rios-maranon-y-santiago/,2025-11-02,2025,11,2,19,"['biodiversidad_conservacion', 'sociedad_comunidades', 'crimen_ilegalidad']","{'biodiversidad_conservacion': ['amazonía', 'marañón', 'río'], 'sociedad_comunidades': ['impacto'], 'crimen_ilegalidad': ['ilegal']}",False,impacto
¿Por qué es tan difícil para los pueblos originarios acceder a la autonomía indígena en América Latina? | Lecturas ambientales,26 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/pueblos-originarios-acceder-autonomia-indigena/,2025-10-26,2025,10,26,20,['sociedad_comunidades'],{'sociedad_comunidades': ['pueblo']},False,pueblo
La organización criminal Los Lobos se une a piratas peruanos para extorsionar a pescadores del norte de Perú,23 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/organizacion-criminal-los-lobos-piratas-peruanos-extorsionar-pescadores/,2025-10-23,2025,10,23,18,"['economia_desarrollo', 'sociedad_comunidades', 'crimen_ilegalidad']","{'economia_desarrollo': ['pescador'], 'sociedad_comunidades': ['organización'], 'crimen_ilegalidad': ['criminal']}",False,organización
Perú: los pueblos indígenas optan por gobiernos territoriales autónomos y esperan una ley del Congreso,16 Oct 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/10/peru-pueblos-indigenas-gobiernos-territoriales-autonomos/,2025-10-16,2025,10,16,15,"['politica_gobernabilidad', 'sociedad_comunidades']","{'politica_gobernabilidad': ['congreso', 'gobierno', 'ley'], 'sociedad_comunidades': ['indígena', 'pueblo']}",False,"indígena, pueblo"
