titulo,fecha,autor,link,fecha_iso,anio,mes,dia,palabras_titulo
Latinoamérica: las historias ambientales que nos trajeron esperanza en 2025,31 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/latinoamerica-las-historias-ambientales-que-nos-trajeron-esperanza-en-2025/,2025-12-31,2025,12,31,10
Los océanos en 2025: las 10 historias que revelaron amenazas al mar en Latinoamérica,30 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/oceanos-2025-10-historias-amenazas-mar-latinoamerica/,2025-12-30,2025,12,30,14
Las 12 fotografías que resumen el año ambiental de Latinoamérica en 2025,26 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/las-12-fotografias-que-resumen-el-ano-ambiental-de-latinoamerica-en-2025/,2025-12-26,2025,12,26,12
"“La guardia indígena no es un actor armado, es un actor de decisiones comunitarias” | ENTREVISTA",23 Dic 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/12/guardia-indigena-no-es-un-actor-armado-es-actor-decisiones-comunitarias/,2025-12-23,2025,12,23,16
"“Si quieres vivir, aprende a mantener el pico cerrado. Si quieres morir pronto, ábrelo”: la muerte acecha a Olivia Bisa, lideresa indígena de la Nación Chapra",21 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/amenaza-muerte-olivia-bisa-lideresa-indigena-nacion-chapra-peru/,2025-12-21,2025,12,21,26
El “turismo psicodélico” amenaza a las plantas y animales de Latinoamérica y África | ESTUDIO,18 Dic 2025,Astrid Arellano,https://es.mongabay.com/2025/12/turismo-psicodelico-amenaza-plantas-animales-latinoamerica-africa/,2025-12-18,2025,12,18,15
Perú: las 10 historias ambientales que marcaron 2025,16 Dic 2025,Mongabay Latam,https://es.mongabay.com/2025/12/peru-mejores-historias-ambientales/,2025-12-16,2025,12,16,8
Perú amplía su biblioteca molecular con registros genéticos de especies de mamíferos y aves de la Amazonía,12 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/peru-amplia-biblioteca-molecular-registros-geneticos-mamiferos-aves-amazonia/,2025-12-12,2025,12,12,17
Bosques submarinos en riesgo: el cambio climático podría desaparecer el 60% del hábitat de los huiros del Pacífico sudamericano rumbo a 2050 | ESTUDIO,10 Dic 2025,Astrid Arellano,https://es.mongabay.com/2025/12/riesgo-cambio-climatico-desaparecer-huiros-pacifico-sudamericano/,2025-12-10,2025,12,10,24
"Más de 200 guardias de 15 pueblos indígenas de Colombia, Ecuador y Perú se reunieron para discutir cómo proteger la Amazonía",8 Dic 2025,Ana Cristina Alvarado,https://es.mongabay.com/2025/12/guardias-indigenas-colombia-ecuador-peru-proteger-amazonia/,2025-12-08,2025,12,8,21
Los vuelos de la muerte: líderes indígenas asesinados en un territorio invadido por 67 narcopistas,4 Dic 2025,Mongabay Latam,https://es.mongabay.com/custom-story/2025/12/los-vuelos-de-la-muerte-lideres-indigenas-asesinados-6-narcopistas/,2025-12-04,2025,12,4,15
Incendios forestales: en los últimos 12 años se quemaron 2.3 millones de hectáreas de cobertura vegetal en Perú,3 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/incendios-forestales-millones-hectareas-quemadas-peru/,2025-12-03,2025,12,3,18
"Balance ambiental de Perú 2025: el país no logra superar los efectos de la minería ilegal, el narcotráfico y el crimen organizado",2 Dic 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/12/balance-ambiental-peru-mineria-ilegal-narcotrafico-crimen-organizado/,2025-12-02,2025,12,2,22
Piratas y narcotraficantes amenazan a pescadores de Ecuador y Perú,2 Dic 2025,Mongabay Latam,https://es.mongabay.com/specials/2025/12/piratas-narcotraficantes-amenazan-pescadores-ecuador-peru/,2025-12-02,2025,12,2,10
¿Cuáles son los grupos armados que se disputan la Amazonía?,1 Dic 2025,Mongabay Latam,https://es.mongabay.com/video/2025/12/cuales-son-los-grupos-armados-que-se-disputan-la-amazonia/,2025-12-01,2025,12,1,10
Imágenes satelitales y estudios científicos revelan devastación en ríos de América Latina | Lecturas ambientales,30 Nov 2025,Mongabay Latam,https://es.mongabay.com/2025/11/imagenes-satelitales-estudios-cientificos-revelan-devastacion-rios-america-latina/,2025-11-30,2025,11,30,15
Tres nuevas ranas endémicas revelan una biodiversidad oculta en el norte peruano,26 Nov 2025,Xilena Pinedo,https://es.mongabay.com/2025/11/tres-nuevas-ranas-endemicas-revelan-biodiversidad-norte-peruano/,2025-11-26,2025,11,26,12
"Las vicuñas y guanacos de Sudamérica enfrentan la amenaza de la sarna, alertan científicos",25 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/vicunas-guanacos-sudamerica-enfrentan-amenaza-sarna/,2025-11-25,2025,11,25,14
Piratas y narcotráfico: la alianza que extorsiona y asesina a pescadores en Ecuador y Perú | Lecturas ambientales,24 Nov 2025,Mongabay Latam,https://es.mongabay.com/2025/11/piratas-narcotrafico-extorsiona-asesina-pescadores-ecuador-peru/,2025-11-24,2025,11,24,18
Ojos del bosque: comunidades ribereñas de Perú instalan cámaras trampa para proteger la biodiversidad del Alto Mayo,22 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/ojos-del-bosque-comunidades-riberenas-de-peru-instalan-camaras-trampa-para-proteger-la-biodiversidad-del-alto-mayo/,2025-11-22,2025,11,22,17
Logros y retos del sistema electoral en las Repúblicas Andinas | LIBRO,21 Nov 2025,Timothy J. Killeen,https://es.mongabay.com/2025/11/logros-retos-sistema-electoral-republicas-andinas-libro/,2025-11-21,2025,11,21,12
Día mundial de la pesca: 10 entrevistas a pescadores que lo dan todo por el mar,21 Nov 2025,Michelle Carrere,https://es.mongabay.com/2025/11/dia-mundial-pesca-entrevistas-pescadores-mar/,2025-11-21,2025,11,21,16
¿Por qué es tan grave el caso de desembarque ilegal de aletas de tiburón en Perú?,19 Nov 2025,Mongabay Latam,https://es.mongabay.com/short-article/2025/11/grave-caso-desembarque-ilegal-aletas-tiburon-peru/,2025-11-19,2025,11,19,16
Corazón del bosque: comunidades descubren una nueva especie de rana amenazada en Perú,18 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/comunidades-descubren-nueva-especie-rana-amenazada-peru/,2025-11-18,2025,11,18,13
"“En esta COP, queremos visibilizar los riesgos que corren aquellos que defienden los bosques” | ENTREVISTA",16 Nov 2025,Emilia Delfino,https://es.mongabay.com/2025/11/cop30-visibilizar-riesgos-defensores-indigenas-entrevista/,2025-11-16,2025,11,16,16
Reforestando el mar: los peces vuelven a una playa de Perú gracias a un proyecto de repoblamiento de algas,13 Nov 2025,Ramiro Escobar,https://es.mongabay.com/2025/11/peru-mar-proyecto-repoblamiento-algas-peces-regresan/,2025-11-13,2025,11,13,19
Perú: madereros condenados por homicidio de líderes indígenas en caso Saweto ahora demoran juicio por tala ilegal,5 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/peru-madereros-condenados-por-caso-saweto-demoran-juicio-por-tala-ilegal/,2025-11-05,2025,11,5,17
Jene Nete: el mundo del agua es narrado por el pueblo shipibo-konibo por primera vez en una película | ENTREVISTA,4 Nov 2025,Astrid Arellano,https://es.mongabay.com/2025/11/jene-nete-el-mundo-del-agua-es-narrado-por-el-pueblo-shipibo-konibo-por-primera-vez-en-una-pelicula-entrevista/,2025-11-04,2025,11,4,20
Un sobrevuelo en la Amazonía peruana muestra los impactos de la minería ilegal en los ríos Marañón y Santiago,2 Nov 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/11/un-sobrevuelo-en-la-amazonia-peruana-mineria-ilegal-en-los-rios-maranon-y-santiago/,2025-11-02,2025,11,2,19
¿Por qué es tan difícil para los pueblos originarios acceder a la autonomía indígena en América Latina? | Lecturas ambientales,26 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/pueblos-originarios-acceder-autonomia-indigena/,2025-10-26,2025,10,26,20
"Descubren curiosos marsupiales, cocodrilos y roedores en América Latina y el Caribe | Coyuntura Ambiental",25 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/descubren-marsupiales-cocodrilos-roedores/,2025-10-25,2025,10,25,15
Ríos voladores: la deforestación en la Amazonía brasileña está impactando en los ecosistemas de Perú y Bolivia | ESTUDIO,24 Oct 2025,Yvette Sierra Praeli,https://es.mongabay.com/2025/10/rios-voladores-deforestacion-amazonia-brasilena-impacta-peru-bolivia/,2025-10-24,2025,10,24,19
Jueces y magistrados de la Panamazonía: notables por su inactividad | LIBRO,24 Oct 2025,Timothy J. Killeen,https://es.mongabay.com/2025/10/jueces-magistrados-panamazonia-inactividad-libro/,2025-10-24,2025,10,24,12
La organización criminal Los Lobos se une a piratas peruanos para extorsionar a pescadores del norte de Perú,23 Oct 2025,Mongabay Latam,https://es.mongabay.com/2025/10/organizacion-criminal-los-lobos-piratas-peruanos-extorsionar-pescadores/,2025-10-23,2025,10,23,18
Piratas de Ecuador y Perú: el brazo logístico del narcotráfico detrás de las extorsiones a pescadores artesanales,22 Oct 2025,Mongabay Latam,https://es.mongabay.com/custom-story/2025/10/piratas-ecuador-peru-narcotrafico-extorsiones-pescadores-artesanales/,2025-10-22,2025,10,22,17
